Cluster_ID,Centroid_Latitude,Centroid_Longitude,Incident_Count
0,13.730564231247586,100.57116809086693,111
1,13.826934558781822,100.56806062311799,382
2,13.713233144496046,100.46767109442949,155
3,13.749673030285642,100.74753256993685,70
4,13.923852021125269,100.64142891094878,41
5,13.744271725374754,100.40083885678692,65
6,13.775097086558594,100.63173099501026,113
7,13.64398208765411,100.44828686259812,64
8,13.78592040577153,100.51551242977557,151
9,13.711357616070309,100.63995274493028,175
10,13.81546420448767,100.65481419446446,121
11,13.8387911439284,100.899370104072,5
12,13.820788074834727,100.74586035497158,95
13,13.884514918729101,100.58169714453744,278
14,13.731749648885614,100.53172834870281,153
15,13.751010728107174,100.5732304224598,155
16,13.78409209752495,100.3957837275707,157
17,13.781705782798767,100.44617136047307,215
18,13.710412495437675,100.40645747192022,132
19,13.653512944677466,100.38770052973683,60
20,13.686850910036599,100.48478214296019,157
21,13.908185198266091,100.6985416190475,44
22,13.815890571212606,100.5169487360693,338
23,13.709894739770123,100.59988533596376,170
24,13.720839812041966,100.7007456168351,90
25,13.805265594154836,100.57451505487181,292
26,13.705645743424054,100.34218856324183,131
27,13.795798987635399,100.53538359527398,211
28,13.757394540883855,100.61638366285484,124
29,13.842122639092,100.6190916337075,16
30,13.758373893568809,100.50961041891682,173
31,13.776500602989104,100.81805840818211,57
32,13.70802589820065,100.51546782118587,109
33,13.662640161152027,100.64496073987188,117
34,13.83050281336576,100.5395840222068,465
35,13.93589655732929,100.60861693820438,121
36,13.781640655341205,100.67347001271548,93
37,13.763190645569415,100.55138552225463,207
38,13.849734234917102,100.66849038635307,88
39,13.774376550609103,100.4801597785862,205
40,13.670367496253755,100.45267070609725,127
41,13.612900019013841,100.51120309075681,69
42,13.838132451399256,100.77756155704702,47
43,13.790805834766045,100.35628619235672,70
44,13.7202985312163,100.48979979476363,270
45,13.69379424602733,100.54144319032662,127
46,13.813329825537334,100.70172679520134,75
47,13.912839845870685,100.57811883608834,54
48,13.723818214000326,100.78010066034157,89
49,13.713690848089351,100.452088573035,94
50,13.882692030363797,100.7216903065829,69
51,13.66170720729948,100.50221611001182,77
52,13.606822977245939,100.40013293831122,33
53,13.874024262546277,100.59580043159136,191
54,13.855251224062735,100.84139381400206,34
55,13.77866347340366,100.57171448800749,255
56,13.740053972319487,100.62945106627453,150
57,13.839343287872708,100.57558833123188,545
58,13.809649560758148,100.60866030213911,68
59,13.700607118207632,100.84854417632684,19
60,13.726949297260411,100.73334049792305,95
