geometry,name,lon,lat
POINT (100.395497 13.717415199999998),คาลเท็กซ์,100.395497,13.717415199999998
POINT (100.6184855 13.951331599999998),ป.ต.ท.,100.6184855,13.951331599999998
POINT (100.6177115 13.7811941),Shell,100.6177115,13.7811941
POINT (100.63612920000001 13.7714049),บางจาก,100.63612920000001,13.7714049
POINT (100.74127580000001 13.722699599999997),Esso,100.74127580000001,13.722699599999997
POINT (100.6109649 13.785453199999997),เชลล์,100.6109649,13.785453199999997
POINT (100.5078223 13.756183199999997),Susco Gasoline,100.5078223,13.756183199999997
POINT (100.5228005 13.822864499999998),Susco,100.5228005,13.822864499999998
POINT (100.646722 13.690963299999998),PTT,100.646722,13.690963299999998
POINT (100.6662753 13.920945899999998),Esso,100.6662753,13.920945899999998
POINT (100.43213070000002 13.6397111),Esso,100.43213070000002,13.6397111
POINT (100.3445396 13.788746400000003),เอสโซ่,100.3445396,13.788746400000003
POINT (100.3985243 13.7836846),Bangchak,100.3985243,13.7836846
POINT (100.6603982 13.920904999999998),ป.ต.ท.,100.6603982,13.920904999999998
POINT (100.5183162 13.718115600000003),Esso,100.5183162,13.718115600000003
POINT (100.5677241 13.7556586),LPG Station,100.5677241,13.7556586
POINT (100.6028765 13.662873699999999),Shell,100.6028765,13.662873699999999
POINT (100.5499369 13.854360199999999),Caltex,100.5499369,13.854360199999999
POINT (100.6258038 13.9338639),ป.ต.ท. พหลโยธินกม.25,100.6258038,13.9338639
POINT (100.5744378 13.716015),LPG,100.5744378,13.716015
POINT (100.492456 13.6206196),PTT,100.492456,13.6206196
POINT (100.60557 13.6958514),เชลล์,100.60557,13.6958514
POINT (100.5208712 13.7853078),เชลล์,100.5208712,13.7853078
POINT (100.6511188 13.665252699999998),Inthanin,100.6511188,13.665252699999998
POINT (100.7081008 13.722455499999999),ป.ต.ท.,100.7081008,13.722455499999999
POINT (100.4106412 13.792701299999996),ป.ต.ท.,100.4106412,13.792701299999996
POINT (100.5720725 13.7472069),เชลล์,100.5720725,13.7472069
POINT (100.5724271 13.7471519),เอสโซ่,100.5724271,13.7471519
POINT (100.5803647 13.906446399999998),Bangchak,100.5803647,13.906446399999998
POINT (100.5852985 13.927671699999998),PTT,100.5852985,13.927671699999998
POINT (100.6540828 13.921165899999997),PT,100.6540828,13.921165899999997
POINT (100.6017822 13.6863627),PTT,100.6017822,13.6863627
POINT (100.485803 13.778454),ปั๊มซัสโก้,100.485803,13.778454
POINT (100.5786377 13.9421265),ปตท,100.5786377,13.9421265
POINT (100.442828 13.7527348),บางจาก,100.442828,13.7527348
POINT (100.5458018 13.7322787),7-Eleven,100.5458018,13.7322787
POINT (100.5744712 13.870268399999999),PTT (und. Construction),100.5744712,13.870268399999999
POINT (100.6627319 13.718237999999996),บางจาก,100.6627319,13.718237999999996
POINT (100.6633401 13.718318200000002),บางจาก,100.6633401,13.718318200000002
