,CC,CID,VERSION NR,TABLE,LOCATION CODE,(SUB)TYPE,ROAD NUMBER,ROAD NAME,JUNCTION NUMBER,FIRST NAME,SECOND NAME,AREA REFERENCE,LINEAR REFERENCE,NEGATIVE OFFSET,POSITIVE OFFSET,INTERSECTION REFS,LATITUDE,LONGITUDE,URBAN,INTERRUPT,ISOLATED,IN+,OUT+,IN-,OUT-,PRESENT+,PRESENT-,geometry
269,2,227,3.2,19,46179,P1.11,3242,Ekkachai Road,,Ekkachai 43,,10.0,2399.0,46178.0,46180.0,,13.68497,100.44539,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44539 13.68497)
270,2,227,3.2,19,46180,P1.11,3242,Ekkachai Road,,Ekkachai 36,,10.0,2399.0,46179.0,46181.0,,13.68518,100.44571,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44571 13.68518)
271,2,227,3.2,19,46181,P1.11,3242,Ekkachai Road,,Ekkachai 34,,10.0,2399.0,46180.0,46182.0,,13.68683,100.44874,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44874 13.68683)
272,2,227,3.2,19,46182,P1.11,3242,Ekkachai Road,,Ekkachai 32,,10.0,2399.0,46181.0,46183.0,,13.6887,100.45117,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45117 13.6887)
273,2,227,3.2,19,46183,P1.11,3242,Ekkachai Road,,Ekkachai 24,,10.0,2399.0,46182.0,46184.0,,13.69197,100.45467,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45467 13.69197)
274,2,227,3.2,19,46184,P1.11,3242,Ekkachai Road,,Ekkachai 10/1,,10.0,2399.0,46183.0,46185.0,,13.69771,100.45914,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45914 13.69771)
275,2,227,3.2,19,46185,P1.11,3242,Ekkachai Road,,3242/ Wutthakat Road,,10.0,2399.0,46184.0,,,13.69912,100.46722,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.46722 13.69912)
344,2,227,3.2,19,54786,P1.11,35,Rama 2,,Rama 2 Soi 82/Bang Kradi Road,,10.0,689.0,15026.0,15015.0,,13.63267,100.39982,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.39982 13.63267)
345,2,227,3.2,19,15015,P2.1,35,Rama 2,,Km-10 Rama 2,,10.0,689.0,54786.0,15016.0,,13.64081,100.40841,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.40841 13.64081)
346,2,227,3.2,19,15016,P2.1,35,Rama 2,,Km-5 Rama 2,,10.0,689.0,15015.0,15017.0,,13.66649,100.44607,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44607 13.66649)
347,2,227,3.2,19,15017,P2.1,35,Rama 2,,Km-1 Rama 2,,10.0,689.0,15016.0,15018.0,,13.68223,100.47916,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.47916 13.68223)
348,2,227,3.2,19,15018,P1.1,35,Rama 2,,Dao Khanong Junction,,10.0,689.0,15017.0,15024.0,,13.69392,100.48193,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48193 13.69392)
349,2,227,3.2,19,15024,P1.1,35,Rama 2,,Mahai Sawan Intersection-689,,10.0,689.0,15018.0,,,13.70471,100.48565,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48565 13.70471)
371,2,227,3.2,19,46248,P1.11,350,,,Prasert-Manukitch Road,,10.0,2404.0,,46249.0,,13.81561,100.64215,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64215 13.81561)
372,2,227,3.2,19,46249,P1.11,350,,,Nuan Chan Road,,10.0,2404.0,46248.0,46250.0,,13.81741,100.64523,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64523 13.81741)
373,2,227,3.2,19,46250,P1.11,350,,,Nawamin West Road,,10.0,2404.0,46249.0,46251.0,,13.81849,100.65046,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.65046 13.81849)
374,2,227,3.2,19,46251,P1.11,350,,,Nawamin Road,,10.0,2404.0,46250.0,46252.0,,13.81914,100.6541,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.6541 13.81914)
375,2,227,3.2,19,46252,P1.11,350,,,Nawamin East Road,,10.0,2404.0,46251.0,46253.0,,13.81981,100.65953,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.65953 13.81981)
376,2,227,3.2,19,46253,P1.11,350,,,Nawamin 74 Yaek 3-9,,10.0,2404.0,46252.0,46254.0,,13.82041,100.66557,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.66557 13.82041)
377,2,227,3.2,19,46254,P1.11,350,,,9 West,,10.0,2404.0,46253.0,46255.0,,13.81995,100.66904,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.66904 13.81995)
378,2,227,3.2,19,46255,P1.11,350,,,9,,10.0,2404.0,46254.0,46256.0,,13.81901,100.67595,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.67595 13.81901)
379,2,227,3.2,19,46256,P1.11,350,,,304,,10.0,2404.0,46255.0,,,13.81981,100.6819,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.6819 13.81981)
381,2,227,3.2,19,13769,P3.14,4,Phetkasem Road,,Krathum Baen,,74.0,690.0,,13755.0,,13.70598,100.33333,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.33333 13.70598)
382,2,227,3.2,19,13755,P2.1,4,Phetkasem Road,,Km-20 Phetchakasem Rd.,,10.0,690.0,13769.0,13763.0,,13.70575,100.34552,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.34552 13.70575)
383,2,227,3.2,19,13763,P1.10,4,Phetkasem Road,,Phet Kasem 69 Intersection,,10.0,690.0,13755.0,13756.0,,13.70786,100.37373,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.37373 13.70786)
384,2,227,3.2,19,13756,P2.1,4,Phetkasem Road,,Km-15 Phetchakasem Rd.,,10.0,690.0,13763.0,13764.0,,13.70946,100.39165,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.39165 13.70946)
385,2,227,3.2,19,13764,P1.12,4,Phetkasem Road,,Phet Kasem 88 Junction,,10.0,690.0,13756.0,13757.0,,13.71048,100.4035,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.4035 13.71048)
386,2,227,3.2,19,13757,P1.11,4,Phetkasem Road,,Bang Khae,,10.0,690.0,13764.0,13758.0,,13.7118,100.42078,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.42078 13.7118)
387,2,227,3.2,19,13758,P2.1,4,Phetkasem Road,,Km-10 Phetchakasem Rd.,,10.0,690.0,13757.0,13765.0,,13.71317,100.43757,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.43757 13.71317)
388,2,227,3.2,19,13765,P1.12,4,Phetkasem Road,,Soi Phetkasem 46/1,,10.0,690.0,13758.0,13766.0,,13.71593,100.44646,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44646 13.71593)
389,2,227,3.2,19,13766,P1.10,4,Phetkasem Road,,Ratchaphruek Rd. - Phetchakasem Rd.-690,,10.0,690.0,13765.0,13767.0,,13.72101,100.45814,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45814 13.72101)
390,2,227,3.2,19,13767,P3.37,4,Phetkasem Road,,Bang Khae Telephone Service Office Teminal 1,,10.0,690.0,13766.0,13759.0,,13.72729,100.46965,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.46965 13.72729)
391,2,227,3.2,19,13759,P1.11,4,Phetkasem Road,,Tha Phra Intersection-690,,10.0,690.0,13767.0,13760.0,,13.7294,100.47417,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.47417 13.7294)
392,2,227,3.2,19,13760,P1.12,4,Phetkasem Road,,Wat Sang Kha Junction,,10.0,690.0,13759.0,13761.0,,13.72836,100.48059,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48059 13.72836)
393,2,227,3.2,19,13761,P1.12,4,Phetkasem Road,,Bang Yi Ruea Junction,,10.0,690.0,13760.0,13762.0,,13.72727,100.48713,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.48713 13.72727)
394,2,227,3.2,19,13762,P1.8,4,Phetkasem Road,,Wong Wian Yai Circle-690,,10.0,690.0,13761.0,,,13.72637,100.49246,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49246 13.72637)
407,2,227,3.2,19,13768,P3.14,4,Phetkasem Road,,Krathum Baen (East),,74.0,691.0,13754.0,,,13.70598,100.33333,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.33333 13.70598)
417,2,227,3.2,19,46257,P1.11,,Anamai Ngam Charoen 25,,Anamai Ngam Charoen Road,,10.0,2405.0,,46258.0,,13.65077,100.44884,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44884 13.65077)
418,2,227,3.2,19,46258,P1.11,,Anamai Ngam Charoen 25,,Soi 2/15,,10.0,2405.0,46257.0,46259.0,,13.65095,100.45624,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45624 13.65095)
419,2,227,3.2,19,46259,P1.11,,Anamai Ngam Charoen 25,,Soi Wat Yai Rom,,10.0,2405.0,46258.0,,,13.65451,100.46461,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.46461 13.65451)
421,2,227,3.2,19,46260,P1.11,,Anamai Ngam Charoen 5,,Anamai Ngam Charoen Road,,10.0,2406.0,,46261.0,,13.6659,100.45529,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45529 13.6659)
422,2,227,3.2,19,46261,P1.11,,Anamai Ngam Charoen 5,,Soi Rama 2 Yaek 43 Soi 12,,10.0,2406.0,46260.0,,,13.66883,100.45663,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45663 13.66883)
424,2,227,3.2,19,46262,P1.11,,Anamai Ngam Charoen30,,Bangkhunthian-Chaithale Road,,10.0,2407.0,,46263.0,,13.64151,100.43209,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.43209 13.64151)
425,2,227,3.2,19,46263,P1.11,,Anamai Ngam Charoen30,,Casa Ville Rama 2,,10.0,2407.0,46262.0,46264.0,,13.63675,100.4391,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.4391 13.63675)
426,2,227,3.2,19,46264,P1.11,,Anamai Ngam Charoen30,,Thakham Road,,10.0,2407.0,46263.0,46265.0,,13.6376,100.44674,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44674 13.6376)
427,2,227,3.2,19,46265,P1.11,,Anamai Ngam Charoen30,,Anamai Ngam Charoen Road,,10.0,2407.0,46264.0,,,13.63781,100.44874,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44874 13.63781)
429,2,227,3.2,19,46266,P1.11,,Anamai Ngam Charoen Road,,9,,10.0,2408.0,,46267.0,,13.62661,100.45043,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.45043 13.62661)
430,2,227,3.2,19,46267,P1.11,,Anamai Ngam Charoen Road,,Anamai Ngam Charoen 35,,10.0,2408.0,46266.0,46268.0,,13.63454,100.44938,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44938 13.63454)
431,2,227,3.2,19,46268,P1.11,,Anamai Ngam Charoen Road,,Anamai Ngam Charoen30,,10.0,2408.0,46267.0,46269.0,,13.63781,100.44874,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44874 13.63781)
432,2,227,3.2,19,46269,P1.11,,Anamai Ngam Charoen Road,,Anamai Ngam Charoen Road,,10.0,2408.0,46268.0,,,13.64084,100.44903,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.44903 13.64084)
434,2,227,3.2,19,46270,P1.11,,Arun Amarin 5,,Thetsaban Sai 1 Road,,10.0,2409.0,,46271.0,,13.73625,100.49247,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49247 13.73625)
