,CC,CID,VERSION NR,TABLE,LOCATION CODE,(SUB)TYPE,ROAD NUMBER,ROAD NAME,JUNCTION NUMBER,FIRST NAME,SECOND NAME,AREA REFERENCE,LINEAR REFERENCE,NEGATIVE OFFSET,POSITIVE OFFSET,INTERSECTION REFS,LATITUDE,LONGITUDE,URBAN,INTERRUPT,ISOLATED,IN+,OUT+,IN-,OUT-,PRESENT+,PRESENT-,geometry
2436,2,227,3.2,19,46067,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Thapchang Overpass,,10.0,2091.0,46065.0,46072.0,,13.73351,100.69933,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.69933 13.73351)
2437,2,227,3.2,19,46072,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Thapchang intersection - Motorway Km 10,,10.0,2091.0,46067.0,19628.0,,13.73267,100.70762,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.70762 13.73267)
2438,2,227,3.2,19,19628,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 10 - KM 15 (1),,10.0,2091.0,46072.0,46076.0,,13.7297,100.73473,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.73473 13.7297)
2439,2,227,3.2,19,46076,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Romklao Overpass,,10.0,2091.0,19628.0,46081.0,,13.72983,100.73964,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.73964 13.72983)
2440,2,227,3.2,19,46081,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 10 - KM 15 (2),,10.0,2091.0,46076.0,19529.0,,13.72992,100.75097,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.75097 13.72992)
2441,2,227,3.2,19,19529,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 10 - KM 15 (3),,10.0,2091.0,46081.0,19530.0,,13.73109,100.76167,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.76167 13.73109)
2442,2,227,3.2,19,19530,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 15 - KM 20,,10.0,2091.0,19529.0,19531.0,,13.73258,100.78101,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.78101 13.73258)
2443,2,227,3.2,19,19531,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 20 - KM 25 (1),,10.0,2091.0,19530.0,19534.0,,13.71782,100.81666,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.81666 13.71782)
2444,2,227,3.2,19,19534,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 20 - KM 25 (2),,10.0,2091.0,19531.0,19657.0,,13.70602,100.82248,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.82248 13.70602)
2445,2,227,3.2,19,19657,P3.14,,Motorway Bangkok-Chonburi Road (saimai),,Lat Krabang,,10.0,2091.0,19534.0,,,13.70408,100.82343,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.82343 13.70408)
2457,2,227,3.2,19,19620,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 0 - KM 5,,10.0,8360.0,,20360.0,,13.74006,100.64697,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64697 13.74006)
2458,2,227,3.2,19,20360,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,To Motorway KM 0 - Km 5 (8360),,10.0,8360.0,19620.0,,,13.74032,100.64642,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64642 13.74032)
2460,2,227,3.2,19,46079,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Parallel Motorway Km 10 - Km 15,,10.0,8319.0,,20319.0,,13.73005,100.74428,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.74428 13.73005)
2461,2,227,3.2,19,20319,P1.13,,Motorway Bangkok-Chonburi Road (saimai),,To Parallel Motorway Km 15 - 8319,,10.0,8319.0,46079.0,,,13.73014,100.75047,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.75047 13.73014)
2463,2,227,3.2,19,19656,P3.14,,Motorway Bangkok-Chonburi Road (saimai),,Lat Krabang,,10.0,1091.0,,19596.0,,13.70441,100.82245,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.82245 13.70441)
2464,2,227,3.2,19,19596,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 20 - KM 10,,10.0,1091.0,19656.0,19597.0,,13.71713,100.81633,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.81633 13.71713)
2465,2,227,3.2,19,19597,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 1 KM 15 - KM 10,,10.0,1091.0,19596.0,19598.0,,13.73181,100.78014,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.78014 13.73181)
2466,2,227,3.2,19,19598,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Soi Chaokhun Thahan,,10.0,1091.0,19597.0,19601.0,,13.73078,100.76248,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.76248 13.73078)
2467,2,227,3.2,19,19601,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 3 KM 15 - KM 10,,10.0,1091.0,19598.0,19603.0,,13.73051,100.76133,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.76133 13.73051)
2468,2,227,3.2,19,19603,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway (From Chaokhun Thahan Rd.),,10.0,1091.0,19601.0,19608.0,,13.72962,100.75725,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.75725 13.72962)
2469,2,227,3.2,19,19608,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 10 (From Romklao Rd.),,10.0,1091.0,19603.0,19609.0,,13.72909,100.74072,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.74072 13.72909)
2470,2,227,3.2,19,19609,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway KM 10 - 1091,,10.0,1091.0,19608.0,19610.0,,13.72897,100.73403,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.73403 13.72897)
2471,2,227,3.2,19,19610,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 2 KM 10- KM 5,,10.0,1091.0,19609.0,19616.0,,13.73143,100.70963,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.70963 13.73143)
2472,2,227,3.2,19,19616,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 3 KM 10 - KM 5,,10.0,1091.0,19610.0,19617.0,,13.73272,100.69947,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.69947 13.73272)
2473,2,227,3.2,19,19617,P2.1,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 1 KM 5 - KM 0,,10.0,1091.0,19616.0,19618.0,,13.73401,100.68803,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.68803 13.73401)
2474,2,227,3.2,19,19618,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 2 KM 5 - KM 0,,10.0,1091.0,19617.0,19622.0,,13.73955,100.64984,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64984 13.73955)
2475,2,227,3.2,19,19622,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 3 KM 5 - KM 0,,10.0,1091.0,19618.0,19623.0,,13.74032,100.64642,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64642 13.74032)
2476,2,227,3.2,19,19623,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,Motorway 4 KM 5 - KM 0,,10.0,1091.0,19622.0,19626.0,,13.74093,100.64352,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64352 13.74093)
2477,2,227,3.2,19,19626,P1.4,,Motorway Bangkok-Chonburi Road (saimai),,Motoway - Dan Srinakharin (2),,10.0,1091.0,19623.0,19646.0,,13.74142,100.64119,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64119 13.74142)
2478,2,227,3.2,19,19646,P1.5,,Motorway Bangkok-Chonburi Road (saimai),,1Motoway - Dan Srinakharin-2Motoway - Dan Srinakharin,,10.0,1091.0,19626.0,,,13.74246,100.63629,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63629 13.74246)
2511,2,227,3.2,19,46642,P1.11,,Na Phra That Road,,Na Phra Lan Road,,10.0,2544.0,,46643.0,,13.7524,100.49126,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49126 13.7524)
2512,2,227,3.2,19,46643,P1.11,,Na Phra That Road,,Rachini Road,,10.0,2544.0,46642.0,,,13.75881,100.49304,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.49304 13.75881)
2514,2,227,3.2,19,15120,P1.11,,Nawamin Road,,Bang Kapi Intersection,,10.0,612.0,,15121.0,,13.76649,100.64806,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64806 13.76649)
2515,2,227,3.2,19,15121,P1.12,,Nawamin Road,,Kan Kheha Junction,,10.0,612.0,15120.0,15122.0,,13.78426,100.64765,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64765 13.78426)
2516,2,227,3.2,19,15122,P1.12,,Nawamin Road,,Kasetsart-Navamin Junction,,10.0,612.0,15121.0,15123.0,,13.80971,100.6501,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.6501 13.80971)
2517,2,227,3.2,19,15123,P1.11,,Nawamin Road,,Km 8 Intersection-612,,10.0,612.0,15122.0,,,13.83868,100.66248,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.66248 13.83868)
2519,2,227,3.2,19,46644,P1.11,,Nak Niwat 27,,Chok Chai 4 Soi 18,,10.0,2545.0,,46645.0,,13.80523,100.60017,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.60017 13.80523)
2520,2,227,3.2,19,46645,P1.11,,Nak Niwat 27,,Nak Niwat Road,,10.0,2545.0,46644.0,,,13.80583,100.6077,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.6077 13.80583)
2522,2,227,3.2,19,46646,P1.11,,Nakaniwat 16,,Nak Niwat Road,,10.0,2546.0,,46647.0,,13.80695,100.60809,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.60809 13.80695)
2523,2,227,3.2,19,46647,P1.11,,Nakaniwat 16,,Soi Yothin Phattana,,10.0,2546.0,46646.0,,,13.807,100.61402,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.61402 13.807)
2532,2,227,3.2,19,38501,P3.37,,Nakhonchaisri Rd.,,Metrpolitan Electricity Authority Hospital,,10.0,562.0,,38502.0,,13.78679,100.50935,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50935 13.78679)
2533,2,227,3.2,19,38502,P1.11,,Nakhonchaisri Rd.,,Si Yan Intersection-562,,10.0,562.0,38501.0,38503.0,,13.78537,100.51181,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51181 13.78537)
2534,2,227,3.2,19,38503,P1.11,,Nakhonchaisri Rd.,,Ruam Chit Intersection-562,,10.0,562.0,38502.0,38504.0,,13.78354,100.51504,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51504 13.78354)
2535,2,227,3.2,19,38504,P1.11,,Nakhonchaisri Rd.,,Phichai Intersection-562,,10.0,562.0,38503.0,38505.0,,13.78189,100.51805,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51805 13.78189)
2536,2,227,3.2,19,38505,P1.11,,Nakhonchaisri Rd.,,Ratchawat Intersection-562,,10.0,562.0,38504.0,38506.0,,13.7795,100.52236,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52236 13.7795)
2537,2,227,3.2,19,38506,P1.11,,Nakhonchaisri Rd.,,Samsen Intersection-562,,10.0,562.0,38505.0,38507.0,,13.77618,100.52839,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52839 13.77618)
2538,2,227,3.2,19,38507,P1.12,,Nakhonchaisri Rd.,,Rong Krong Nam Junction-562,,10.0,562.0,38506.0,,,13.77506,100.5311,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5311 13.77506)
2540,2,227,3.2,19,45002,P1.11,,Nakhon Sawan Road,,Chakkraphatdiphong Intersection-674,,10.0,674.0,,45003.0,,13.75825,100.50951,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.50951 13.75825)
2541,2,227,3.2,19,45003,P1.11,,Nakhon Sawan Road,,Saphan Thewa Kam Intersection-674,,10.0,674.0,45002.0,45004.0,,13.76015,100.51286,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51286 13.76015)
2542,2,227,3.2,19,45004,P1.12,,Nakhon Sawan Road,,Nang Leong Junction-674,,10.0,674.0,45003.0,45023.0,,13.7617,100.51549,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.51549 13.7617)
2543,2,227,3.2,19,45023,P1.11,,Nakhon Sawan Road,,Yommarat Intersection-674,,10.0,674.0,45004.0,,,13.75727,100.52053,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52053 13.75727)
2545,2,227,3.2,19,46648,P1.11,,Naradhiwas Rajanagarindra 10,,Naradhiwas Rajanagarindra 10/Soi Chan 18/7 Yaek 28,,10.0,2547.0,,46649.0,,13.71313,100.52767,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52767 13.71313)
2546,2,227,3.2,19,46649,P1.11,,Naradhiwas Rajanagarindra 10,,Naradhiwas Rajanagarindra Road,,10.0,2547.0,46648.0,,,13.71509,100.53346,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53346 13.71509)
2548,2,227,3.2,19,46650,P1.11,,Naradhiwas Rajanagarindra 14,,Chan 16,,10.0,2548.0,,46651.0,,13.71077,100.5301,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5301 13.71077)
2549,2,227,3.2,19,46651,P1.11,,Naradhiwas Rajanagarindra 14,,Naradhiwas Rajanagarindra Road,,10.0,2548.0,46650.0,,,13.71336,100.53429,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53429 13.71336)
2551,2,227,3.2,19,46652,P1.11,,Naradhiwas Rajanagarindra 17,,Naradhiwas Rajanagarindra Road,,10.0,2549.0,,46653.0,,13.71385,100.53447,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53447 13.71385)
2552,2,227,3.2,19,46653,P1.11,,Naradhiwas Rajanagarindra 17,,Suan Phlu Road/Naradhiwas Rajanagarindra 17,,10.0,2549.0,46652.0,,,13.71607,100.53887,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53887 13.71607)
2554,2,227,3.2,19,46654,P1.11,,Naradhiwas Rajanagarindra 24,,Sathu Pradit Road,,10.0,2550.0,,46655.0,,13.69861,100.53158,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53158 13.69861)
2555,2,227,3.2,19,46655,P1.11,,Naradhiwas Rajanagarindra 24,,Naradhiwas Rajanagarindra Road,,10.0,2550.0,46654.0,,,13.70297,100.53989,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53989 13.70297)
2557,2,227,3.2,19,28000,P1.6,,Naradhiwas Rajanagarindra Road,,Narathiwat Intersection Overpass,,10.0,541.0,,28001.0,,13.69541,100.54686,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54686 13.69541)
2558,2,227,3.2,19,28001,P1.6,,Naradhiwas Rajanagarindra Road,,Narathiwat-under Mahanakhon Tollway,,10.0,541.0,28000.0,28002.0,,13.70059,100.54158,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54158 13.70059)
2559,2,227,3.2,19,28002,P1.12,,Naradhiwas Rajanagarindra Road,,Narathiwatratchanakarin Soi 24 - 541,,10.0,541.0,28001.0,28003.0,,13.70305,100.53986,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53986 13.70305)
2560,2,227,3.2,19,28003,P1.11,,Naradhiwas Rajanagarindra Road,,Narathiwat Ratchanakharin Rd. Cross Chan Rd.,,10.0,541.0,28002.0,28004.0,,13.70712,100.53762,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53762 13.70712)
2561,2,227,3.2,19,28004,P1.12,,Naradhiwas Rajanagarindra Road,,Naradhiwas Rajanagarindra 14,,10.0,541.0,28003.0,28005.0,,13.71349,100.5345,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.5345 13.71349)
2562,2,227,3.2,19,28005,P1.11,,Naradhiwas Rajanagarindra Road,,Narin Thon Intersection-541,,10.0,541.0,28004.0,28006.0,,13.72186,100.53037,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.53037 13.72186)
2563,2,227,3.2,19,28006,P1.11,,Naradhiwas Rajanagarindra Road,,Nararum Intersection-541,,10.0,541.0,28005.0,28007.0,,13.72632,100.52817,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52817 13.72632)
2564,2,227,3.2,19,28007,P1.11,,Naradhiwas Rajanagarindra Road,,Narathiwatratchanakarin Rd. Intersection-541,,10.0,541.0,28006.0,,,13.72857,100.52715,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.52715 13.72857)
2566,2,227,3.2,19,46656,P1.11,,Nawamin 10,,Nawamin Road,,10.0,2551.0,,46657.0,,13.77623,100.64501,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64501 13.77623)
2567,2,227,3.2,19,46657,P1.11,,Nawamin 10,,Nawamin 14/Seri Thai 7/Nawamin 10,,10.0,2551.0,46656.0,,,13.77817,100.64766,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64766 13.77817)
2569,2,227,3.2,19,46658,P1.11,,Nawamin 14,,Nawamin 14/Seri Thai 7/Nawamin 10,,10.0,2552.0,,46659.0,,13.77817,100.64766,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64766 13.77817)
2570,2,227,3.2,19,46659,P1.11,,Nawamin 14,,Nawamin Road,,10.0,2552.0,46658.0,,,13.78127,100.64575,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64575 13.78127)
2572,2,227,3.2,19,46660,P1.11,,Nawamin 45,,Nawamin Road,,10.0,2553.0,,46661.0,,13.78137,100.64565,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64565 13.78137)
2573,2,227,3.2,19,46661,P1.11,,Nawamin 45,,Nawamin 51,,10.0,2553.0,46660.0,,,13.7831,100.64523,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64523 13.7831)
2575,2,227,3.2,19,46662,P1.11,,Nawamin 51,,Nawamin 45,,10.0,2554.0,,46663.0,,13.7831,100.64523,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64523 13.7831)
2576,2,227,3.2,19,46663,P1.11,,Nawamin 51,,Nawamin Road,,10.0,2554.0,46662.0,,,13.78419,100.64751,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.64751 13.78419)
2578,2,227,3.2,19,46664,P1.11,,Ngam Wong Wan 43 Yaek 2,,Soi Chinnakhet 1,,10.0,2555.0,,46665.0,,13.86012,100.54847,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54847 13.86012)
2579,2,227,3.2,19,46665,P1.11,,Ngam Wong Wan 43 Yaek 2,,Soi Chinnakhet 2,,10.0,2555.0,46664.0,,,13.86037,100.55635,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55635 13.86037)
2581,2,227,3.2,19,46666,P1.11,,Ngam Wong Wan 59,,Ngam Wong Wan Road,,10.0,2556.0,,46667.0,,13.84878,100.55956,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55956 13.84878)
2582,2,227,3.2,19,46667,P1.11,,Ngam Wong Wan 59,,Soi Wat Thewasunthon,,10.0,2556.0,46666.0,,,13.85461,100.56296,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.56296 13.85461)
2584,2,227,3.2,19,45914,P3.14,,Ngam Wong Wan Road,,Laksi,,10.0,695.0,,45904.0,,13.85605,100.54523,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54523 13.85605)
2585,2,227,3.2,19,45904,P1.11,,Ngam Wong Wan Road,,Phong Phet Intersection,,10.0,695.0,45914.0,45905.0,,13.85605,100.54525,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54525 13.85605)
2586,2,227,3.2,19,45905,P1.6,,Ngam Wong Wan Road,,Bang Khen Intersection,,10.0,695.0,45904.0,45906.0,,13.84754,100.56149,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.56149 13.84754)
2587,2,227,3.2,19,45906,P1.11,,Ngam Wong Wan Road,,Kasetsart Intersection-695,,10.0,695.0,45905.0,,,13.83973,100.57553,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.57553 13.83973)
2591,2,227,3.2,19,45913,P3.14,,Ngam Wong Wan Road,,Laksi,,10.0,679.0,45903.0,,,13.85605,100.54523,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54523 13.85605)
2593,2,227,3.2,19,46668,P1.11,,Ngamwongwan47 Yaek39 Chinket 2/37 (West),,Prachachuen 12 Yaek 1-2-2,,10.0,2557.0,,46669.0,,13.86984,100.55195,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55195 13.86984)
2594,2,227,3.2,19,46669,P1.11,,Ngamwongwan47 Yaek39 Chinket 2/37 (West),,Ngamwongwan47 Yaek39 Chinket 2/37/Ngamwongwan47 Yaek42 Chinket 2/40,,10.0,2557.0,46668.0,,,13.86994,100.55593,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55593 13.86994)
2596,2,227,3.2,19,46670,P1.11,,Ngamwongwan47 Yaek42 Chinket 2/40,,Ngamwongwan47 Yaek39 Chinket 2/37/Ngamwongwan47 Yaek42 Chinket 2/40,,10.0,2558.0,,46671.0,,13.86994,100.55593,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55593 13.86994)
2597,2,227,3.2,19,46671,P1.11,,Ngamwongwan47 Yaek42 Chinket 2/40,,Chitchon Road,,10.0,2558.0,46670.0,,,13.87005,100.56061,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.56061 13.87005)
2599,2,227,3.2,19,46672,P1.11,,Nikhomrotfai Sai 1 Road,,Kampaeng Phet 6 Road,,10.0,2559.0,,46673.0,,13.82262,100.54798,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54798 13.82262)
2600,2,227,3.2,19,46673,P1.11,,Nikhomrotfai Sai 1 Road,,Kamphaengphet 2 Road,,10.0,2559.0,46672.0,46674.0,,13.82216,100.54893,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.54893 13.82216)
2601,2,227,3.2,19,46674,P1.11,,Nikhomrotfai Sai 1 Road,,Soi Vibhavadi Rangsit 11 Yaek 1,,10.0,2559.0,46673.0,46675.0,,13.81984,100.55346,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55346 13.81984)
2602,2,227,3.2,19,46675,P1.11,,Nikhomrotfai Sai 1 Road,,Nikhomrotfai Sai 2 Road,,10.0,2559.0,46674.0,,,13.81799,100.55712,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55712 13.81799)
2604,2,227,3.2,19,46676,P1.11,,Nikhomrotfai Sai 2 Road,,Nikhomrotfai Sai 1 Road,,10.0,2560.0,,46677.0,,13.81799,100.55712,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55712 13.81799)
2605,2,227,3.2,19,46677,P1.11,,Nikhomrotfai Sai 2 Road,,Kamphaeng Phet 3 Road,,10.0,2560.0,46676.0,,,13.81639,100.55853,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.55853 13.81639)
2610,2,227,3.2,19,46680,P1.11,,On Nut 39,,On Nut Road,,10.0,2562.0,,46681.0,,13.71133,100.63838,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63838 13.71133)
2611,2,227,3.2,19,46681,P1.11,,On Nut 39,,Soi Onnut 39,,10.0,2562.0,46680.0,46682.0,,13.71958,100.63748,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63748 13.71958)
2612,2,227,3.2,19,46682,P1.11,,On Nut 39,,Srinagarindra 24,,10.0,2562.0,46681.0,,,13.72029,100.63957,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63957 13.72029)
2614,2,227,3.2,19,46683,P1.11,,On Nut 44,,Soi Wachiratham Sathit 57,,10.0,2563.0,,46684.0,,13.70163,100.63087,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63087 13.70163)
2615,2,227,3.2,19,46684,P1.11,,On Nut 44,,Soi Muban Phatthanaphon,,10.0,2563.0,46683.0,46685.0,,13.70327,100.63045,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63045 13.70327)
2616,2,227,3.2,19,46685,P1.11,,On Nut 44,,On Nut,,10.0,2563.0,46684.0,,,13.71008,100.62944,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.62944 13.71008)
2618,2,227,3.2,19,46686,P1.11,,On Nut 46,,On Nut 46/Srinagarindra 38,,10.0,2564.0,,46687.0,,13.6985,100.63838,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63838 13.6985)
2619,2,227,3.2,19,46687,P1.11,,On Nut 46,,Moo Ban Mittrapap 4,,10.0,2564.0,46686.0,46688.0,,13.70407,100.63668,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63668 13.70407)
2620,2,227,3.2,19,46688,P1.11,,On Nut 46,,Soi Sukhumvit 77,,10.0,2564.0,46687.0,,,13.7106,100.63431,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.63431 13.7106)
2622,2,227,3.2,19,46689,P1.11,,Phaendinthong Road,,Bangkhunthian Road,,10.0,2565.0,,46690.0,,13.66453,100.42886,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.42886 13.66453)
2623,2,227,3.2,19,46690,P1.11,,Phaendinthong Road,,Rama 2 Soi 56,,10.0,2565.0,46689.0,46691.0,,13.66601,100.43133,0.0,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,POINT (100.43133 13.66601)
