LOCATION CODE,ROAD NAME,FIRST NAME,SECOND NAME,LATITUDE,LONGITUDE,NEGATIVE OFFSET,POSITIVE OFFSET,geometry,dist_to_osm_m,positive_ok,negative_ok
46223,Lamlukka Road,3312/Lam Lukka 25,,13.93713,100.64177,46222,46224,POINT (100.64177 13.93713),8.326725521208678,True,True
46224,Lamlukka Road,Soi Tontarn,,13.93293,100.64259,46223,46225,POINT (100.64259 13.93293),5.042025247080933,True,True
46225,Lamlukka Road,Chumchon Moo Ban Chatnarong 3,,13.93224,100.65339,46224,46226,POINT (100.65339 13.93224),1.213411028944337,True,True
46226,Lamlukka Road,Chumchon Moo Ban Chatnarong 3 East,,13.93203,100.66005,46225,46227,POINT (100.66005 13.93203),4.870089782863329,True,True
46227,Lamlukka Road,Lam Luk Ka 43,,13.93235,100.67283,46226,46228,POINT (100.67283 13.93235),1.299196095243896,True,True
46228,Lamlukka Road,Lam Luk Ka 53,,13.93253,100.67671,46227,46229,POINT (100.67671 13.93253),1.5474680881735976,True,True
46229,Lamlukka Road,Rural Road 3017,,13.93269,100.68275,46228,46230,POINT (100.68275 13.93269),6.430045843103977,True,True
46230,Lamlukka Road,Hathai Rat Road,,13.93272,100.68368,46229,46231,POINT (100.68368 13.93272),6.822397780602086,True,True
46231,Lamlukka Road,Lam Luk Ka 65,,13.93295,100.68899,46230,46232,POINT (100.68899 13.93295),5.431668869983977,True,True
46232,Lamlukka Road,Soi Lum Luk Ka 69,,13.93311,100.69435,46231,,POINT (100.69435 13.93311),3.1869137327978683,False,True
15026,Rama 2,Bang Khun Thian,,13.60941,100.37696,,54786,POINT (100.37696 13.60941),6.074574006754625,True,False
54786,Rama 2,Rama 2 Soi 82/Bang Kradi Road,,13.63267,100.39982,15026,15015,POINT (100.39982 13.63267),0.9394530410081682,True,True
15015,Rama 2,Km-10 Rama 2,,13.64081,100.40841,54786,15016,POINT (100.40841 13.64081),10.228055319819454,True,True
15016,Rama 2,Km-5 Rama 2,,13.66649,100.44607,15015,15017,POINT (100.44607 13.66649),11.311110976188653,True,True
15017,Rama 2,Km-1 Rama 2,,13.68223,100.47916,15016,15018,POINT (100.47916 13.68223),1.4354581179645929,True,True
15018,Rama 2,Dao Khanong Junction,,13.69392,100.48193,15017,15024,POINT (100.48193 13.69392),2.592333955627471,True,True
15024,Rama 2,Mahai Sawan Intersection-689,,13.70471,100.48565,15018,,POINT (100.48565 13.70471),0.08584989472671302,False,True
15014,Rama 2,Km-15 Rama 2,,13.60831,100.37586,,15025,POINT (100.37586 13.60831),6.560252700853926,True,False
15025,Rama 2,Bang Khun Thian,,13.60941,100.37696,15014,,POINT (100.37696 13.60941),6.074574006754625,False,True
46248,,Prasert-Manukitch Road,,13.81561,100.64215,,46249,POINT (100.64215 13.81561),0.9361269511979786,True,False
46249,,Nuan Chan Road,,13.81741,100.64523,46248,46250,POINT (100.64523 13.81741),2.9679232630248884,True,True
46250,,Nawamin West Road,,13.81849,100.65046,46249,46251,POINT (100.65046 13.81849),3.5995896747718126,True,True
46251,,Nawamin Road,,13.81914,100.6541,46250,46252,POINT (100.6541 13.81914),3.574011027380578,True,True
46252,,Nawamin East Road,,13.81981,100.65953,46251,46253,POINT (100.65953 13.81981),5.960405954922855,True,True
46253,,Nawamin 74 Yaek 3-9,,13.82041,100.66557,46252,46254,POINT (100.66557 13.82041),4.582111837261718,True,True
46254,,9 West,,13.81995,100.66904,46253,46255,POINT (100.66904 13.81995),1.0638191902038383,True,True
46255,,9,,13.81901,100.67595,46254,46256,POINT (100.67595 13.81901),3.1585089475130563,True,True
46256,,304,,13.81981,100.6819,46255,,POINT (100.6819 13.81981),6.050047630390107,False,True
13755,Phetkasem Road,Km-20 Phetchakasem Rd.,,13.70575,100.34552,,13763,POINT (100.34552 13.70575),1.0101705096014009,True,False
13763,Phetkasem Road,Phet Kasem 69 Intersection,,13.70786,100.37373,13755,13756,POINT (100.37373 13.70786),0.6790470096819575,True,True
13756,Phetkasem Road,Km-15 Phetchakasem Rd.,,13.70946,100.39165,13763,13764,POINT (100.39165 13.70946),4.992073965650177,True,True
13764,Phetkasem Road,Phet Kasem 88 Junction,,13.71048,100.4035,13756,13757,POINT (100.4035 13.71048),0.30908242776412426,True,True
13757,Phetkasem Road,Bang Khae,,13.7118,100.42078,13764,13758,POINT (100.42078 13.7118),0.1954235425988729,True,True
13758,Phetkasem Road,Km-10 Phetchakasem Rd.,,13.71317,100.43757,13757,13765,POINT (100.43757 13.71317),6.1451029977241065,True,True
13765,Phetkasem Road,Soi Phetkasem 46/1,,13.71593,100.44646,13758,13766,POINT (100.44646 13.71593),1.4314598758584818,True,True
13766,Phetkasem Road,Ratchaphruek Rd. - Phetchakasem Rd.-690,,13.72101,100.45814,13765,13767,POINT (100.45814 13.72101),0.7534241630277762,True,True
13767,Phetkasem Road,Bang Khae Telephone Service Office Teminal 1,,13.72729,100.46965,13766,13759,POINT (100.46965 13.72729),12.404526765744684,True,True
13759,Phetkasem Road,Tha Phra Intersection-690,,13.7294,100.47417,13767,13760,POINT (100.47417 13.7294),2.0492382864139276,True,True
13760,Phetkasem Road,Wat Sang Kha Junction,,13.72836,100.48059,13759,13761,POINT (100.48059 13.72836),3.579629446970314,True,True
13761,Phetkasem Road,Bang Yi Ruea Junction,,13.72727,100.48713,13760,13762,POINT (100.48713 13.72727),2.494267122506413,True,True
13762,Phetkasem Road,Wong Wian Yai Circle-690,,13.72637,100.49246,13761,,POINT (100.49246 13.72637),8.504220159073533,False,True
46257,Anamai Ngam Charoen 25,Anamai Ngam Charoen Road,,13.65077,100.44884,,46258,POINT (100.44884 13.65077),12.366975159017356,True,False
46258,Anamai Ngam Charoen 25,Soi 2/15,,13.65095,100.45624,46257,46259,POINT (100.45624 13.65095),6.030373726606893,True,True
46259,Anamai Ngam Charoen 25,Soi Wat Yai Rom,,13.65451,100.46461,46258,,POINT (100.46461 13.65451),2.174474492129249,False,True
46262,Anamai Ngam Charoen30,Bangkhunthian-Chaithale Road,,13.64151,100.43209,,46263,POINT (100.43209 13.64151),5.23597748217633,True,False
46263,Anamai Ngam Charoen30,Casa Ville Rama 2,,13.63675,100.4391,46262,46264,POINT (100.4391 13.63675),3.252998701145627,True,True
46264,Anamai Ngam Charoen30,Thakham Road,,13.6376,100.44674,46263,46265,POINT (100.44674 13.6376),2.281550496772212,True,True
46265,Anamai Ngam Charoen30,Anamai Ngam Charoen Road,,13.63781,100.44874,46264,,POINT (100.44874 13.63781),3.0056739268976154,False,True
46266,Anamai Ngam Charoen Road,9,,13.62661,100.45043,,46267,POINT (100.45043 13.62661),7.120900924099281,True,False
46267,Anamai Ngam Charoen Road,Anamai Ngam Charoen 35,,13.63454,100.44938,46266,46268,POINT (100.44938 13.63454),2.255728283107477,True,True
46268,Anamai Ngam Charoen Road,Anamai Ngam Charoen30,,13.63781,100.44874,46267,46269,POINT (100.44874 13.63781),3.0056739268976154,True,True
46269,Anamai Ngam Charoen Road,Anamai Ngam Charoen Road,,13.64084,100.44903,46268,,POINT (100.44903 13.64084),3.3598539921843953,False,True
25501,Arun Ammarin Road,Prachathipok-somdetchaophraya Intersection-536,,13.73447,100.49594,,25502,POINT (100.49594 13.73447),5.249472959535648,True,False
25502,Arun Ammarin Road,Thetsaban Sai 1 Road,,13.73658,100.49298,25501,25503,POINT (100.49298 13.73658),1.9261127251069738,True,True
25503,Arun Ammarin Road,Bakok Yai Bridge,,13.73965,100.48948,25502,25504,POINT (100.48948 13.73965),5.410668389224704,True,True
25504,Arun Ammarin Road,Wang Doem Intersection,,13.74217,100.48754,25503,25505,POINT (100.48754 13.74217),1.5825064834202518,True,True
25505,Arun Ammarin Road,Soi Thawitha Phisek-536,,13.74556,100.48549,25504,25506,POINT (100.48549 13.74556),3.559566650496524,True,True
25506,Arun Ammarin Road,Soi Saengsueksa,,13.7487,100.48404,25505,25507,POINT (100.48404 13.7487),0.9497145532339156,True,True
25507,Arun Ammarin Road,Chao Pho Kamin Shrine,,13.75219,100.48356,25506,25508,POINT (100.48356 13.75219),1.121443675668844,True,True
25508,Arun Ammarin Road,Siriraj Intersection,,13.75607,100.48341,25507,25509,POINT (100.48341 13.75607),1.1208270088535175,True,True
25509,Arun Ammarin Road,Wat Amarin Tharam,,13.75989,100.48269,25508,25510,POINT (100.48269 13.75989),2.495330716386247,True,True
25510,Arun Ammarin Road,Arun Ammarin Intersection-536,,13.76867,100.48581,25509,25511,POINT (100.48581 13.76867),4.219390894314223,True,True
25511,Arun Ammarin Road,Soi Charansanitwong 40,,13.77139,100.4886,25510,25512,POINT (100.4886 13.77139),4.293687269598571,True,True
25512,Arun Ammarin Road,Rama 8 Bridge (Thonburi),,13.77251,100.49184,25511,25513,POINT (100.49184 13.77251),0.7652936792889159,True,True
25513,Arun Ammarin Road,Rama 8 Bridge,,13.76928,100.49662,25512,25518,POINT (100.49662 13.76928),1.3246484127214369,True,True
25518,Arun Ammarin Road,Bang Khun Phrom Intersection-536,,13.76692,100.5011,25513,,POINT (100.5011 13.76692),0.657443215880299,False,True
39000,Aumnuai Songkhram Rd.,Bang Krabue Intersection-563,,13.78939,100.51465,,39001,POINT (100.51465 13.78939),0.9287878900783488,True,False
39001,Aumnuai Songkhram Rd.,Amnuai Songkhram-ruam Chit Junction-563,,13.78759,100.51758,39000,39002,POINT (100.51758 13.78759),1.6347447208793047,True,True
