LOCATION CODE,LATITUDE,LONGITUDE,u,v,key,osmid,distance_meters
46141,13.66404,100.51696,1199572772,5261686374,0,1300073205,3.4193062598642245
46142,13.66861,100.5135,330193142,3622187708,0,356814124,6.239762030308058
46143,13.67157,100.50891,5895463989,7936458724,0,154579556,2.861855578830275
46144,13.67303,100.5065,291426916,11121355051,0,1025100198,1.5458075597562602
46145,13.67575,100.50223,5925916929,1671131438,0,154579590,4.404256489414055
46146,13.67855,100.4978,1687249942,1687249853,0,154579590,1.190508240937266
46147,13.68072,100.49442,8008446992,975816876,0,150283745,5.5071253595884
46148,13.68103,100.49378,1671131551,291425550,0,154579583,0.8914230417430308
46149,13.68494,100.48766,1131074676,8008495153,0,97698665,1.2106795453340171
46150,13.88413,100.58158,1715372383,360175663,0,1060508201,0.11719058496298616
46151,13.88138,100.58668,1952131101,5670901504,0,1000245327,5.995329706803902
46152,13.87552,100.59673,11461692312,11461692313,0,1234809586,0.8911186637327984
20520,13.95203,100.61886,1716297281,1716297282,0,159520419,35.504364402975696
20520,13.95203,100.61886,11379246010,1716297282,0,1227135597,35.504364402975696
8954,13.63854,100.37195,1271181889,1271181888,0,624306776,0.5447461132086636
8954,13.63854,100.37195,1271181888,1271181889,0,624306776,0.5447461132086636
8955,13.64209,100.37639,8123182493,1114301764,0,624306782,3.72673006309984
8956,13.64367,100.37838,3280082844,1114301695,0,624306782,0.6350289153562422
8957,13.65028,100.38672,1114301697,1271176618,0,111613300,1.3453354853521498
8957,13.65028,100.38672,1271176618,1114301697,0,111613300,1.3453354853521498
46172,13.66282,100.40556,1114301455,1114301743,0,96159230,1.40034212742603
46173,13.66891,100.4161,1328632566,1328630857,0,96159224,1.814837645249153
46174,13.67391,100.42557,1129409358,1592063293,0,860583895,5.281712952830563
46175,13.67469,100.42705,8020960235,8020960236,0,860567915,1.6399059866462042
46176,13.6787,100.43409,1592085665,1592085661,0,830066318,1.4049549650837558
46177,13.68166,100.43923,5956731895,1579194220,0,830066318,6.558314919669675
46178,13.68328,100.44233,1579065104,1577917725,0,830066318,5.597907779698277
46179,13.68497,100.44539,8610285738,1114301670,0,830066325,0.04513011482508549
46180,13.68518,100.44571,1577704970,2118957901,0,144187294,1.6374230685298252
46180,13.68518,100.44571,2118957901,1577704970,0,144187294,1.6374230685298252
46181,13.68683,100.44874,4383003141,4382930591,0,1007524556,1.3070303442456805
46182,13.6887,100.45117,4383219468,1114301680,0,1007524556,6.196998832000438
46182,13.6887,100.45117,1114301680,4383219468,0,1007524556,6.196998832000438
46183,13.69197,100.45467,8389162116,2869928976,0,96159223,3.8854304616780015
46184,13.69771,100.45914,4383268428,1114301610,0,894852568,6.878103363748875
46185,13.69912,100.46722,7953353047,340129098,0,626129319,1.2111276327685123
54786,13.63267,100.39982,8062803062,13159595535,0,1442842237,0.9394530410081682
15015,13.64081,100.40841,365830885,13247602307,0,32660295,10.228055319819454
15016,13.66649,100.44607,268602190,268602191,0,627719812,11.311110976188653
15017,13.68223,100.47916,330183129,330183130,0,857014956,1.4354581179645929
15018,13.69392,100.48193,330211298,330211114,0,830066282,2.592333955627471
15018,13.69392,100.48193,330211114,330211298,0,830066282,2.592333955627471
15024,13.70471,100.48565,330904699,330906538,0,154773961,0.08584989472671302
46248,13.81561,100.64215,13161865879,518818262,0,1311520472,0.9361269511979786
46249,13.81741,100.64523,1579265331,1579265328,0,207371379,2.9679232630248884
46250,13.81849,100.65046,1579265336,1579265323,0,221135108,3.5995896747718126
46251,13.81914,100.6541,7984034317,2175932548,0,144374771,3.574011027380578
46252,13.81981,100.65953,1579265341,1996714940,0,837929378,5.960405954922855
46253,13.82041,100.66557,519947528,3248806166,0,41960617,4.582111837261718
46254,13.81995,100.66904,519947742,519959579,0,41960617,1.0638191902038383
46255,13.81901,100.67595,1042473912,2301932297,0,89957581,3.1585089475130563
46256,13.81981,100.6819,8940600264,8942113345,0,1124691527,6.050047630390107
13769,13.70598,100.33333,5650696911,5650696885,0,1055342133,142.4554713132207
13755,13.70575,100.34552,8301717914,8301717885,0,820384762,1.0101705096014009
13763,13.70786,100.37373,1271176332,8076822676,0,866537835,0.6790470096819575
13756,13.70946,100.39165,1608069003,8057933582,0,680482041,4.992073965650177
13764,13.71048,100.4035,12618580394,1116681350,0,962789161,0.30908242776412426
13757,13.7118,100.42078,1625392289,1625392290,0,96182071,0.1954235425988729
13758,13.71317,100.43757,2059558539,2059552110,0,688567014,6.1451029977241065
13765,13.71593,100.44646,1114587213,1926790405,0,688567014,1.4314598758584818
13766,13.72101,100.45814,1116445663,1116445641,0,96327276,0.7534241630277762
13767,13.72729,100.46965,3791475717,1539152011,0,40263789,12.404526765744684
13759,13.7294,100.47417,1539148380,2094758767,0,140486621,2.0492382864139276
13760,13.72836,100.48059,3739015568,5936040850,0,155065803,3.579629446970314
13761,13.72727,100.48713,485572713,5935923872,0,1025803938,2.494267122506413
13762,13.72637,100.49246,9593975366,1114352963,0,680487941,8.504220159073533
13768,13.70598,100.33333,5650696911,5650696885,0,1055342133,142.4554713132207
46257,13.65077,100.44884,1603663987,5928084985,0,892524447,12.366975159017356
46257,13.65077,100.44884,5928084985,1603663987,0,892524447,12.366975159017356
46258,13.65095,100.45624,1603663984,1603657927,0,892524447,6.030373726606893
46258,13.65095,100.45624,1603657927,1603663984,0,892524447,6.030373726606893
46259,13.65451,100.46461,5930572648,1603671322,0,892524448,2.174474492129249
46260,13.6659,100.45529,5260138830,12222045024,0,1027674831,0.4851055782043819
46262,13.64151,100.43209,1671130916,1145990583,0,1160694908,5.23597748217633
46263,13.63675,100.4391,4913250909,7961826216,0,154579833,3.252998701145627
46264,13.6376,100.44674,1133830683,8038902333,0,97966846,2.281550496772212
46265,13.63781,100.44874,4913154888,4913154889,0,154579840,3.0056739268976154
46265,13.63781,100.44874,4913154889,4913154888,0,154579840,3.0056739268976154
46266,13.62661,100.45043,13287853767,1601915645,0,146995642,7.120900924099281
46267,13.63454,100.44938,4913154892,8298788493,0,628468419,2.255728283107477
46267,13.63454,100.44938,8298788493,4913154892,0,628468419,2.255728283107477
46268,13.63781,100.44874,4913154888,4913154889,0,154579840,3.0056739268976154
46268,13.63781,100.44874,4913154889,4913154888,0,154579840,3.0056739268976154
46269,13.64084,100.44903,4913154876,3802499275,0,628193969,3.3598539921843953
46269,13.64084,100.44903,3802499275,4913154876,0,628193969,3.3598539921843953
46270,13.73625,100.49247,12841357051,12841357057,0,1387152828,61.04057564134018
46270,13.73625,100.49247,12841357057,12841357053,0,1387152828,61.04057564134018
46271,13.73662,100.49293,12841357051,12841357057,0,1387152828,2.0187838359664707
46272,13.73775,100.49657,309214652,309214656,0,28152577,32.91904323895586
25501,13.73447,100.49594,281463797,5933368859,0,1055576194,5.249472959535648
25502,13.73658,100.49298,12841357051,12841357057,0,1387152828,1.9261127251069738
25503,13.73965,100.48948,12701093199,11434374489,0,627700481,5.410668389224704
25503,13.73965,100.48948,11434374489,12701093199,0,627700481,5.410668389224704
25504,13.74217,100.48754,3972147165,1798011761,0,455033679,1.5825064834202518
25504,13.74217,100.48754,1798011761,3972147165,0,455033679,1.5825064834202518
25505,13.74556,100.48549,705056299,705056352,0,139487069,3.559566650496524
25506,13.7487,100.48404,330201773,11124142176,0,795516375,0.9497145532339156
25507,13.75219,100.48356,8818007725,7551987070,0,903744874,1.121443675668844
25507,13.75219,100.48356,7551987070,8818007725,0,903744874,1.121443675668844
25508,13.75607,100.48341,8817966410,8817966408,0,903744874,1.1208270088535175
25508,13.75607,100.48341,8817966408,8817966410,0,903744874,1.1208270088535175
25509,13.75989,100.48269,7551987064,8390996822,0,952990326,2.495330716386247
25509,13.75989,100.48269,8390996822,7551987064,0,952990326,2.495330716386247
25510,13.76867,100.48581,1338555240,6410774578,0,176762417,4.219390894314223
25511,13.77139,100.4886,330202299,330202300,0,29995181,4.293687269598571
25512,13.77251,100.49184,12491835338,1872413501,0,176762389,0.7652936792889159
25513,13.76928,100.49662,1046668593,1046668594,0,176762382,1.3246484127214369
25518,13.76692,100.5011,1872413425,8125141064,0,872380845,0.657443215880299
39000,13.78939,100.51465,5901177168,446298019,0,175803653,0.9287878900783488
39001,13.78759,100.51758,12809172624,1677796112,0,1124685483,1.6347447208793047
39002,13.78598,100.52016,1693506909,446298128,0,1124685483,2.0526116171500774
39002,13.78598,100.52016,446298128,1693506909,0,1124685483,2.0526116171500774
39005,13.78333,100.52441,12969048560,446298085,0,1106110685,1.3144010363329
16000,13.7519,100.50202,255710559,1887121810,0,687290600,2.466584031246698
16001,13.75212,100.50451,255710560,9363512699,0,973121412,2.087812981400735
16002,13.75214,100.50546,312064087,10784791672,0,628452267,3.8249177831648105
16003,13.75187,100.5087,9363513189,255710563,0,123951459,0.9355412767173937
16004,13.75072,100.51203,9363513472,255712518,0,85944708,4.246976890113688
16005,13.74985,100.5145,255712400,9363513168,0,1059339518,7.648885851385398
16006,13.74909,100.51674,1692124203,66257566,0,197532525,0.7277965889575922
16006,13.74909,100.51674,66257566,1692124203,0,197532525,0.7277965889575922
16017,13.74835,100.51897,66257564,6348645439,0,197532526,6.122445147294545
16018,13.74799,100.52078,66257563,359583044,0,32037149,0.7552251992115929
46274,13.69142,100.43403,9471510486,8038548843,0,96065616,4.622921470056185
46275,13.69502,100.42203,1114715392,1115455782,0,100133549,3.100310066210627
46278,13.76403,100.4738,496755160,496755159,0,119106952,4.210291726058391
46279,13.7679,100.47042,5418572181,496755150,0,119106952,0.28132030305641703
46280,13.77192,100.46792,8076371000,6497105114,0,119106952,6.11373558239297
46281,13.77699,100.4652,496755134,3813041148,0,1347945750,9.942133633364072
46281,13.77699,100.4652,3813041148,496755134,0,1347945750,9.942133633364072
46282,13.77878,100.46524,496755130,496755129,0,830801774,5.497941585494298
46282,13.77878,100.46524,496755129,496755130,0,830801774,5.497941585494298
46284,13.65678,100.62248,1774465498,1774465499,0,23351642,1.0560997575902713
46285,13.6607,100.62492,1814491851,1814491852,0,1096492182,0.6625488428680155
17513,13.66407,100.65229,7815542235,2447030196,0,837410995,18.137497437812932
17500,13.67624,100.59146,567147982,8250903306,0,154400173,9.120248445606606
17501,13.67334,100.60683,1287529445,1287529587,0,211040159,1.187867011022796
17502,13.6643,100.65183,1287529484,1287529358,0,834187017,1.692170338328113
17512,13.66407,100.65229,7815542235,2447030196,0,837410995,18.137497437812932
46287,13.67235,100.61325,278500994,278500997,0,1025100208,0.9471763443583325
46288,13.67147,100.61779,1687506278,2447030354,0,185120446,6.515968081150285
46291,13.67006,100.62057,1708143409,1686481120,0,1189598007,8.279452542612763
46292,13.66929,100.62874,8027214577,776526675,0,185120446,7.87773817676426
46293,13.67017,100.63061,776527228,1634705425,0,1189598003,139.89848273834994
46294,13.66897,100.63043,1634705425,8027214567,0,1189598003,5.914802316006533
46295,13.67017,100.63061,776527228,1634705425,0,1189598003,139.89848273834994
46297,13.67806,100.63128,1687492454,279237107,0,837411014,3.754454376566025
46297,13.67806,100.63128,279237107,1687492454,0,837411014,3.754454376566025
46298,13.66848,100.63276,1634705424,8064417156,0,1189598003,1.6388775718778796
46300,13.66812,100.635,7558059042,278499094,0,25551877,4.904494551449704
46300,13.66812,100.635,278499094,7558059042,0,25551877,4.904494551449704
46301,13.67364,100.63658,8027214502,8288512114,0,25551877,7.3020209661801045
46301,13.67364,100.63658,8288512114,8027214502,0,25551877,7.3020209661801045
